换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
2.36%,3793.50万,1.52%,4841手,4104手,6.92,2817.81万,29.38亿,-3.00%,"
                        28.44",31.60,川金诺,31.32,4.55,31.80,31.70,9336.00万,11.94亿,34.76,56.62,8945手,0.42,0.11
1.11%,1.04亿,1.30%,6737手,4730手,2.85,1494.76万,33.00亿,19.67%,"
                        11.75",13.05,昊志机电,12.95,4.57,13.12,13.11,2.54亿,13.47亿,14.36,45.06,1.15万手,0.22,0.19
3.17%,1.25亿,3.08%,2.44万手,1.52万手,4.57,1.13亿,67.21亿,39.65%,"
                        25.97",28.86,新易盛,28.21,6.18,29.10,28.81,2.38亿,35.26亿,31.75,52.17,3.96万手,0.42,1.59
0.84%,2404.08万,1.13%,1135手,872手,8.82,717.03万,23.90亿,68.58%,"
                        31.94",35.49,海顺新材,35.49,4.03,35.89,35.52,6725.88万,8.54亿,39.04,37.92,2008手,0.70,0.16
17.61%,3439.20万,3.90%,3.23万手,2.83万手,6.01,2.41亿,48.75亿,79.53%,"
                        36.72",40.80,启迪设计,39.14,6.60,40.73,39.30,1.23亿,13.64亿,44.88,85.87,6.06万手,0.35,3.05
0.31%,6689.48万,1.45%,1081手,1001手,5.08,441.85万,25.51亿,22.03%,"
                        19.21",21.34,高澜股份,21.09,4.18,21.40,21.13,1.20亿,14.22亿,23.47,71.55,2082手,0.22,0.07
0.53%,35.46亿,4.18%,8.07万手,10.70万手,5.72,4.73亿,1326.49亿,-72.90%,"
                        22.16",24.62,温氏股份,24.50,4.44,25.53,24.60,52.20亿,900.92亿,27.08,24.63,18.77万手,0.77,5.60
2.71%,5897.64万,5.35%,8142手,7856手,7.99,5888.88万,41.25亿,-3.27%,"
                        32.62",36.24,富祥股份,35.30,4.60,37.24,36.24,1.12亿,21.66亿,39.86,22.19,1.60万手,1.24,0.76
2.33%,2.23亿,2.87%,2.87万手,2.32万手,3.10,1.72亿,132.07亿,-16.10%,"
                        29.83",33.14,中科创达,32.65,10.55,33.60,33.11,4.04亿,72.94亿,36.45,135.34,5.20万手,0.18,1.01
6.54%,8553.75万,3.90%,2.95万手,2.65万手,3.90,1.07亿,45.46亿,48.33%,"
                        17.06",18.96,盛天网络,18.79,4.86,19.53,18.81,2.40亿,16.20亿,20.86,53.79,5.60万手,0.26,1.69
2.27%,1.55亿,2.54%,2.22万手,1.29万手,1.64,4893.60万,41.76亿,-12.99%,"
                        12.74",14.16,润欣科技,13.81,8.49,14.17,14.08,3.00亿,21.51亿,15.58,71.82,3.51万手,0.15,2.11
--,2470.00万,--,--,--,3.61,--,38.26亿,--,"
                        41.38",45.98,山鼎设计,--,12.74,--,--,8320.00万,11.36亿,50.58,424.25,--,0.08,--
2.21%,5097.07万,1.84%,6917手,4338手,2.75,2055.29万,26.60亿,-25.00%,"
                        16.66",18.51,通合科技,18.16,6.64,18.50,18.50,1.46亿,9.30亿,20.36,--,1.13万手,-0.03,0.86
1.72%,9097.34万,3.66%,8964手,6721手,3.14,2238.03万,32.32亿,-9.44%,"
                        13.05",14.50,华自科技,14.08,4.50,14.61,14.61,2.29亿,12.86亿,15.95,94.66,1.57万手,0.13,0.44
1.36%,4833.00万,2.54%,4291手,2271手,5.14,1304.36万,18.13亿,35.72%,"
                        18.05",20.06,中飞股份,19.61,3.88,20.12,19.95,9075.00万,9.66亿,22.07,108.08,6562手,0.14,0.24
0.78%,2500.80万,1.77%,1099手,848手,8.41,615.49万,33.45亿,-33.33%,"
                        28.42",31.58,恒锋工具,31.36,3.78,31.92,31.53,1.05亿,7.95亿,34.74,33.07,1948手,0.72,0.11
1.92%,8460.39万,1.29%,8897手,7370手,3.93,2768.73万,34.41亿,14.15%,"
                        15.33",17.03,蓝晓科技,16.91,4.32,17.13,17.00,2.02亿,14.38亿,18.73,33.59,1.63万手,0.38,0.64
0.75%,8425.86万,1.48%,3665手,2680手,4.71,1325.59万,29.25亿,-33.80%,"
                        18.81",20.90,东杰智能,20.78,4.43,21.09,20.97,1.40亿,17.57亿,22.99,66.57,6346手,0.23,0.27
0.66%,8448.00万,1.57%,3193手,2356手,9.32,1619.11万,69.89亿,-23.87%,"
                        26.38",29.31,赛升药业,28.92,3.13,29.38,29.18,2.40亿,24.60亿,32.24,26.23,5550手,0.83,0.27
0.58%,9388.60万,1.60%,2946手,2531手,3.29,1192.13万,45.34亿,-48.49%,"
                        19.67",21.86,蓝海华腾,21.61,6.62,21.96,21.61,2.08亿,20.47亿,24.05,31.80,5478手,0.51,0.22
--,3236.30万,--,--,--,6.51,--,20.37亿,--,"
                        29.82",33.13,沃施股份,--,5.09,--,--,6150.00万,10.72亿,36.44,211.98,--,0.12,--
0.41%,1.06亿,2.06%,2458手,1874手,5.50,3065.59万,126.40亿,94.96%,"
                        63.74",70.82,万孚生物,69.75,12.91,71.21,70.81,1.78亿,75.32亿,77.90,61.92,4333手,0.87,0.32
1.39%,7294.00万,1.55%,6244手,3859手,3.08,2279.84万,36.23亿,-7.63%,"
                        20.37",22.63,濮阳惠成,22.45,7.29,22.80,22.50,1.61亿,16.38亿,24.89,49.13,1.01万手,0.35,0.13
1.49%,6435.10万,1.51%,6443手,3160手,3.31,1585.01万,31.86亿,-37.54%,"
                        14.93",16.59,光力科技,16.36,5.00,16.61,16.60,1.92亿,10.66亿,18.25,117.86,9603手,0.11,0.35
2.52%,8800.00万,1.98%,1.11万手,1.11万手,2.52,4736.78万,34.10亿,28.87%,"
                        19.08",21.20,神思电子,21.12,8.44,21.54,21.24,1.60亿,18.75亿,23.32,225.25,2.22万手,0.07,0.62
0.82%,2417.00万,2.18%,999手,975手,7.83,850.02万,28.67亿,8.42%,"
                        38.78",43.09,杭州高新,42.75,5.49,43.69,43.69,6667.00万,10.39亿,47.40,127.91,1975手,0.25,0.11
1.82%,1.21亿,2.90%,1.13万手,1.07万手,5.76,5171.94万,75.88亿,13.83%,"
                        21.11",23.45,合纵科技,23.10,4.07,23.78,23.50,3.23亿,28.38亿,25.80,79.76,2.20万手,0.22,0.78
2.87%,1.71亿,3.63%,1.94万手,2.96万手,6.10,1.19亿,103.74亿,-22.21%,"
                        21.30",23.67,胜宏科技,23.72,3.98,24.58,23.72,4.28亿,41.48亿,26.04,40.22,4.90万手,0.45,1.04
0.94%,7250.00万,1.73%,4009手,2823手,5.85,989.94万,29.00亿,-31.69%,"
                        12.99",14.43,聚隆科技,14.37,2.48,14.62,14.43,2.00亿,10.51亿,15.87,42.21,6833手,0.26,0.40
4.47%,6700.00万,2.78%,1.62万手,1.37万手,3.80,1.61亿,146.09亿,58.56%,"
                        49.28",54.76,景嘉微,53.03,14.21,54.55,53.79,2.70亿,36.20亿,60.24,116.67,3.00万手,0.35,0.60
0.78%,4632.65万,1.72%,1772手,1823手,15.02,1414.86万,41.14亿,-45.52%,"
                        35.50",39.44,德尔股份,39.11,2.61,39.79,39.35,1.05亿,18.16亿,43.38,33.79,3596手,0.87,0.23
3.34%,3325.50万,5.19%,6604手,4506手,3.89,3162.09万,27.99亿,-88.50%,"
                        26.55",29.50,新元科技,27.87,7.20,29.40,29.38,1.00亿,9.31亿,32.45,343.73,1.11万手,0.06,0.42
1.85%,2.19亿,2.65%,2.74万手,1.32万手,4.71,5104.77万,46.47亿,69.38%,"
                        11.55",12.83,厚普股份,12.46,2.66,12.80,12.80,3.71亿,27.48亿,14.11,53.58,4.05万手,0.18,4.11
1.05%,6309.95万,2.12%,3599手,3010手,8.87,2712.75万,44.17亿,52.30%,"
                        36.92",41.02,日机密封,40.58,4.67,41.45,40.58,1.07亿,26.12亿,45.12,42.36,6610手,0.73,0.59
0.86%,2860.45万,1.35%,1524手,930手,6.68,987.07万,27.43亿,52.63%,"
                        36.13",40.14,信息发展,39.90,6.01,40.44,40.35,6830.00万,11.49亿,44.15,1233.89,2454手,0.02,0.22
12.87%,6685.84万,1.17%,8.00万手,6040手,8.65,3.88亿,48.63亿,100.00%,"
                        36.88",40.98,四方精创,44.60,5.21,45.08,45.08,1.08亿,30.14亿,45.08,67.55,8.61万手,0.51,4.56
1.54%,9964.84万,2.28%,8485手,6863手,3.51,6939.18万,102.63亿,-43.40%,"
                        41.11",45.68,迅游科技,44.75,12.91,45.79,45.68,2.27亿,45.13亿,50.25,152.63,1.53万手,0.30,0.71
4.61%,1.78亿,4.39%,3.89万手,4.32万手,2.52,9276.15万,62.24亿,-25.93%,"
                        10.04",11.15,赛摩电气,11.09,4.46,11.58,11.20,5.53亿,20.07亿,12.26,209.12,8.22万手,0.04,0.83
5.26%,2.69亿,7.36%,7.78万手,6.37万手,2.35,1.39亿,42.87亿,40.81%,"
                        8.43",9.37,高伟达,9.50,4.05,10.19,9.92,4.50亿,25.63亿,10.31,283.32,14.16万手,0.03,0.74
1.42%,9196.66万,2.20%,8922手,4172手,2.50,1411.13万,22.26亿,-0.22%,"
                        9.80",10.89,星徽精密,10.68,4.28,10.92,10.90,2.08亿,9.84亿,11.98,81.22,1.31万手,0.10,0.26
1.14%,2.98亿,0.94%,2.09万手,1.32万手,4.39,7993.79万,130.63亿,79.48%,"
                        21.16",23.51,迈克生物,23.35,5.34,23.57,23.51,5.58亿,69.76亿,25.86,32.85,3.41万手,0.53,0.79
2.07%,5603.78万,2.42%,7902手,3681手,4.13,2748.07万,32.37亿,-59.75%,"
                        21.57",23.97,华铭智能,23.50,5.69,24.08,24.05,1.38亿,13.17亿,26.37,93.02,1.16万手,0.19,0.46
2.20%,2357.50万,4.05%,2380手,2815手,4.78,3241.80万,43.98亿,-28.57%,"
                        55.17",61.30,田中精机,60.50,13.05,62.98,60.50,7054.38万,14.70亿,67.43,142.48,5195手,0.33,0.84
2.31%,9583.87万,5.63%,9575手,1.25万手,3.99,3028.22万,23.47亿,-8.24%,"
                        11.98",13.31,惠伦晶体,13.21,3.49,13.96,13.30,1.68亿,13.37亿,14.64,151.29,2.21万手,0.07,0.98
0.86%,5.22亿,2.31%,3.23万手,1.26万手,3.24,5024.55万,219.20亿,56.87%,"
                        10.14",11.27,金科文化,11.09,3.43,11.35,11.25,19.71亿,58.09亿,12.40,55.97,4.49万手,0.19,0.05
4.66%,1.51亿,4.74%,4.35万手,2.69万手,6.03,1.98亿,91.82亿,16.33%,"
                        25.82",28.69,全志科技,27.52,4.58,28.88,28.50,3.33亿,41.72亿,31.56,1234.61,7.05万手,0.02,2.39
1.68%,1.40亿,2.95%,1.44万手,9065手,3.78,6377.05万,84.74亿,-10.15%,"
                        24.42",27.13,赢合科技,26.80,7.12,27.60,27.18,3.15亿,37.67亿,29.84,45.24,2.35万手,0.45,1.39
1.61%,7228.54万,2.12%,6940手,4684手,7.42,5427.19万,87.34亿,15.09%,"
                        42.12",46.80,耐威科技,46.31,6.27,47.30,46.50,1.88亿,33.61亿,51.48,248.73,1.16万手,0.14,1.58
--,1.27亿,--,--,--,1.72,--,44.06亿,--,"
                        10.12",11.24,康拓红外,--,6.55,--,--,3.92亿,14.27亿,12.36,79.30,--,0.11,--
0.43%,7115.28万,1.20%,1800手,1272手,3.58,511.06万,26.38亿,20.88%,"
                        14.99",16.65,三鑫医疗,16.58,4.64,16.78,16.65,1.59亿,11.83亿,18.32,62.11,3073手,0.20,0.12
2.75%,4216.71万,3.01%,6590手,4986手,4.74,3442.02万,27.74亿,22.15%,"
                        26.93",29.92,山河药辅,29.31,6.31,30.21,30.21,9280.00万,12.60亿,32.91,61.02,1.16万手,0.37,2.20
1.57%,1.29亿,2.16%,1.03万手,1.00万手,7.86,4810.61万,57.34亿,-13.16%,"
                        21.20",23.56,创业软件,23.44,3.00,23.95,23.44,2.43亿,30.46亿,25.92,63.81,2.03万手,0.28,0.56
1.77%,1.69亿,3.19%,1.33万手,1.66万手,5.87,1.89亿,275.00亿,-65.62%,"
                        56.69",62.99,先导智能,62.35,10.64,64.36,63.00,4.40亿,105.58亿,69.29,74.03,2.99万手,0.65,0.28
0.71%,9149.93万,1.36%,4173手,2339手,7.41,1300.19万,30.93亿,47.35%,"
                        17.92",19.91,汉邦高科,19.81,2.69,20.08,19.81,1.55亿,18.20亿,21.90,1459.95,6513手,0.01,0.64
0.47%,8105.71万,2.13%,1245手,2545手,4.70,840.89万,48.59亿,-80.53%,"
                        19.83",22.03,浩云科技,21.89,4.73,22.36,21.95,2.18亿,18.04亿,24.23,247.69,3791手,0.07,0.13
0.79%,9437.07万,1.35%,4701手,2741手,4.08,1421.50万,59.71亿,34.57%,"
                        17.35",19.28,全信股份,19.02,4.67,19.28,19.23,3.13亿,18.01亿,21.21,36.35,7442手,0.41,0.20
0.95%,7575.25万,1.63%,5117手,2110手,4.31,1636.67万,27.73亿,46.40%,"
                        20.47",22.74,乐凯新材,22.53,5.24,22.90,22.90,1.23亿,17.10亿,25.01,30.39,7227手,0.56,0.52
3.76%,4151.63万,1.47%,1.04万手,5225手,2.65,2524.39万,26.82亿,-12.57%,"
                        14.72",16.35,康斯特,16.08,6.11,16.32,16.08,1.66亿,6.72亿,17.98,60.68,1.56万手,0.20,0.66
--,1.14亿,--,--,--,3.66,--,55.34亿,--,"
                        15.30",17.00,双杰电气,--,4.65,--,--,3.26亿,19.39亿,18.70,135.38,--,0.09,--
1.13%,1.28亿,2.06%,6717手,7737手,6.71,2407.04万,39.78亿,-26.78%,"
                        14.89",16.54,金雷风电,16.46,2.49,16.80,16.48,2.38亿,21.33亿,18.19,23.50,1.45万手,0.53,1.23
0.69%,5808.81万,0.74%,1939手,2074手,9.69,864.59万,21.56亿,12.77%,"
                        19.36",21.51,普丽盛,21.46,2.23,21.62,21.51,10000.00万,12.52亿,23.66,1438.45,4013手,0.01,0.41
--,9136.27万,--,--,--,3.90,--,88.50亿,--,"
                        21.64",24.05,鲍斯股份,--,6.17,--,--,3.68亿,21.97亿,26.45,57.22,--,0.32,--
2.90%,2.02亿,5.27%,2.57万手,3.30万手,2.75,6078.87万,47.47亿,-13.87%,"
                        9.05",10.05,运达科技,10.02,3.78,10.55,10.05,4.56亿,21.07亿,11.06,37.11,5.87万手,0.21,1.85
0.72%,1.10亿,1.13%,5222手,2689手,4.63,1526.74万,66.82亿,-14.20%,"
                        17.48",19.42,美康生物,19.20,4.16,19.42,19.41,3.47亿,21.26亿,21.36,31.44,7912手,0.46,0.63
1.47%,1.25亿,1.88%,9951手,8472手,7.00,5682.63万,86.65亿,-15.64%,"
                        27.77",30.86,鹏辉能源,30.61,4.40,31.19,30.78,2.81亿,38.56亿,33.95,33.61,1.84万手,0.69,0.77
1.61%,9870.70万,2.75%,6870手,9033手,5.09,2508.30万,34.76亿,-52.94%,"
                        14.08",15.64,清水源,15.55,3.13,15.98,15.59,2.18亿,15.71亿,17.20,61.42,1.59万手,0.19,0.39
1.70%,5580.12万,3.11%,5227手,4248手,3.90,2952.17万,44.07亿,14.88%,"
                        28.39",31.55,广生堂,30.82,7.97,31.80,31.03,1.42亿,17.34亿,34.70,112.32,9476手,0.21,0.86
1.04%,8384.27万,2.68%,4816手,3943手,2.99,1402.23万,39.87亿,36.27%,"
                        14.46",16.07,中泰股份,15.87,5.35,16.30,16.07,2.49亿,13.41亿,17.68,60.89,8759手,0.20,0.31
0.30%,5579.74万,1.20%,497手,1184手,10.50,406.97万,54.17亿,-9.03%,"
                        21.72",24.13,金石东方,24.01,2.31,24.30,24.13,2.23亿,13.54亿,26.54,131.13,1681手,0.14,0.02
1.58%,4.43亿,2.31%,3.78万手,3.22万手,5.61,2.17亿,805.54亿,-29.74%,"
                        28.04",31.15,蓝思科技,30.58,5.47,31.30,31.00,26.29亿,135.73亿,34.27,67.65,7.00万手,0.34,1.21
0.85%,1.70亿,1.92%,8299手,6138手,7.15,2621.33万,91.95亿,27.69%,"
                        16.43",18.25,富临精工,18.02,2.52,18.37,18.20,5.10亿,30.69亿,20.07,21.87,1.44万手,0.62,0.22
12.22%,2.34亿,6.39%,15.95万手,12.68万手,2.73,6.94亿,78.08亿,18.72%,"
                        20.41",22.68,暴风集团,23.50,8.63,24.95,24.41,3.32亿,55.09亿,24.95,289.30,28.63万手,0.06,2.60
0.77%,6611.46万,1.71%,2712手,2396手,13.09,1041.65万,37.08亿,-62.19%,"
                        18.43",20.48,诚益通,20.17,1.56,20.52,20.39,1.81亿,13.52亿,22.53,67.53,5109手,0.36,0.55
3.04%,1.00亿,2.89%,1.25万手,1.81万手,4.05,7446.95万,62.16亿,-70.67%,"
                        21.51",23.90,强力新材,23.88,5.96,24.57,23.88,2.57亿,24.26亿,26.29,43.82,3.06万手,0.41,0.87
6.15%,6240.00万,2.34%,2.53万手,1.31万手,2.81,7769.92万,48.50亿,-41.17%,"
                        18.42",20.47,四通新材,20.00,7.12,20.48,20.39,2.42亿,12.49亿,22.52,51.42,3.84万手,0.29,0.20
2.99%,9960.22万,3.77%,1.29万手,1.69万手,5.09,4475.21万,53.28亿,18.03%,"
                        13.37",14.86,红相电力,14.72,2.97,15.28,14.85,3.53亿,15.05亿,16.35,161.02,2.98万手,0.07,0.43
0.82%,1.50亿,1.82%,5352手,6956手,2.84,2432.68万,79.08亿,-14.51%,"
                        17.81",19.79,唐德影视,19.61,6.95,19.97,19.78,4.00亿,29.71亿,21.77,48.67,1.23万手,0.30,0.14
3.34%,1.49亿,3.43%,3.04万手,1.93万手,3.81,5434.88万,40.75亿,47.19%,"
                        9.98",11.09,环能科技,10.80,2.85,11.18,11.14,3.75亿,16.15亿,12.20,61.27,4.97万手,0.13,1.74
--,1.24亿,--,--,--,3.70,--,56.23亿,--,"
                        21.09",23.43,航新科技,--,6.33,--,--,2.40亿,29.04亿,25.77,103.30,--,0.17,--
0.51%,4542.93万,2.07%,1166手,1172手,4.26,608.45万,28.76亿,3.02%,"
                        23.47",26.08,鲁亿通,25.75,6.09,26.29,25.90,1.11亿,11.78亿,28.69,132.33,2338手,0.15,0.03
2.55%,2.07亿,2.12%,3.39万手,1.90万手,3.02,9083.46万,61.10亿,40.97%,"
                        15.72",17.47,博世科,17.07,5.68,17.44,17.44,3.56亿,35.54亿,19.22,55.39,5.29万手,0.23,0.96
0.54%,6055.47万,1.15%,1742手,1498手,9.06,646.75万,26.74亿,1.08%,"
                        18.01",20.01,力星股份,19.82,2.21,20.05,19.85,1.34亿,12.12亿,22.01,38.64,3241手,0.40,0.12
1.68%,1.83亿,1.93%,1.88万手,1.20万手,2.44,2219.97万,36.80亿,28.84%,"
                        6.54",7.27,五洋科技,7.13,2.96,7.27,7.22,5.11亿,13.18亿,8.00,43.64,3.08万手,0.13,1.21
1.11%,2.05亿,1.54%,1.36万手,9221手,4.03,2226.09万,35.64亿,4.20%,"
                        8.76",9.73,浩丰科技,9.69,2.40,9.84,9.73,3.68亿,19.86亿,10.70,61.36,2.28万手,0.12,0.67
1.85%,4.51亿,2.13%,4.13万手,4.21万手,3.57,1.81亿,248.69亿,-12.41%,"
                        19.47",21.63,昆仑万维,21.52,6.04,21.98,21.57,11.52亿,97.43亿,23.79,32.38,8.34万手,0.50,0.98
1.21%,2778.82万,1.07%,2071手,1285手,4.82,784.57万,19.10亿,2.27%,"
                        20.97",23.30,南华仪器,23.25,4.85,23.50,23.39,8160.00万,6.51亿,25.63,54.22,3356手,0.32,0.32
0.59%,6392.00万,2.31%,2647手,1100手,4.05,911.01万,30.55亿,19.47%,"
                        22.23",24.70,苏试试验,24.13,6.00,24.70,24.70,1.26亿,15.55亿,27.17,60.71,3747手,0.30,0.31
1.43%,2.86亿,3.48%,2.49万手,1.61万手,2.32,7141.56万,74.91亿,3.81%,"
                        16.05",17.83,伊之密,17.28,7.48,17.90,17.83,4.32亿,49.63亿,19.61,27.41,4.10万手,0.47,0.97
1.18%,8363.37万,3.34%,6454手,3391手,4.66,2160.18万,37.22亿,68.03%,"
                        19.94",22.16,中光防雷,21.75,4.67,22.49,22.12,1.71亿,18.22亿,24.38,90.58,9846手,0.18,0.77
3.30%,1.99亿,4.21%,3.36万手,3.20万手,4.07,2.10亿,127.76亿,52.17%,"
                        28.40",31.56,快乐购,31.20,7.83,32.53,31.56,4.01亿,63.30亿,34.72,334.23,6.56万手,0.07,0.49
1.11%,2.53亿,8.93%,1.22万手,1.60万手,2.90,3052.52万,28.88亿,-2.36%,"
                        9.38",10.42,迦南科技,10.37,3.83,11.30,10.49,2.60亿,28.09亿,11.46,49.36,2.82万手,0.17,2.26
0.66%,7181.39万,0.90%,1267手,3444手,3.80,1667.41万,93.50亿,-69.16%,"
                        31.94",35.49,金盾股份,35.16,9.33,35.48,35.45,2.64亿,25.48亿,39.04,200.10,4711手,0.22,0.21
0.59%,1.74亿,2.32%,6209手,4002手,9.84,3561.48万,68.99亿,-21.51%,"
                        31.83",35.37,正业科技,34.55,3.56,35.37,35.37,1.97亿,60.95亿,38.91,36.29,1.02万手,0.72,0.23
6.98%,1.31亿,5.29%,4.32万手,4.85万手,5.86,5.15亿,121.88亿,-57.42%,"
                        49.65",55.17,道氏技术,54.57,9.67,57.49,57.00,2.15亿,74.43亿,60.69,82.33,9.17万手,0.52,4.05
2.07%,16.42亿,6.52%,14.50万手,19.43万手,3.19,7.30亿,380.61亿,-72.80%,"
                        18.65",20.72,三环集团,20.60,6.85,21.95,20.72,17.41亿,359.05亿,22.79,40.81,33.93万手,0.40,2.41
18.98%,1.52亿,7.50%,11.79万手,17.08万手,3.54,3.89亿,37.47亿,73.35%,"
                        11.65",12.94,凯发电气,13.10,3.84,14.07,13.40,2.76亿,20.69亿,14.23,46.64,28.87万手,0.22,17.84
0.59%,3.16亿,2.54%,1.31万手,5373手,2.86,2809.68万,75.83亿,71.11%,"
                        13.80",15.33,九强生物,15.10,5.28,15.49,15.33,5.02亿,47.73亿,16.86,31.28,1.85万手,0.36,0.64
0.56%,9967.54万,1.50%,3576手,2044手,8.06,933.84万,19.50亿,34.87%,"
                        15.03",16.70,科隆股份,16.50,2.06,16.75,16.71,1.17亿,16.58亿,18.37,82.16,5621手,0.15,0.39
3.59%,6491.53万,5.11%,1.10万手,1.24万手,3.29,4860.49万,28.60亿,17.60%,"
                        18.48",20.53,博济医药,20.31,6.48,21.36,20.57,1.34亿,13.83亿,22.58,--,2.33万手,-0.02,1.61
0.62%,2.17亿,1.50%,6505手,7047手,4.31,2059.75万,50.85亿,-49.03%,"
                        13.81",15.34,地尔汉宇,15.14,3.52,15.37,15.21,3.35亿,32.92亿,16.87,28.45,1.36万手,0.40,0.66
1.19%,8630.00万,1.93%,6593手,3655手,2.92,1323.39万,26.06亿,21.12%,"
                        11.66",12.96,宝色股份,12.82,4.41,13.07,13.05,2.02亿,11.13亿,14.26,--,1.02万手,-0.02,0.16
0.76%,1.81亿,1.55%,6127手,7736手,4.67,6332.89万,83.26亿,81.28%,"
                        41.18",45.75,花园生物,45.27,9.83,45.98,45.74,1.81亿,83.26亿,50.33,60.54,1.39万手,0.57,0.40
0.92%,1.56亿,2.05%,8816手,5574手,1.94,1973.48万,32.86亿,69.02%,"
                        12.28",13.65,劲拓股份,13.59,7.06,13.87,13.62,2.40亿,21.33亿,15.02,48.19,1.44万手,0.21,0.79
0.94%,9043.42万,2.51%,4570手,3936手,2.84,1725.16万,30.67亿,8.46%,"
                        18.27",20.30,京天利,20.08,7.11,20.59,20.42,1.52亿,18.25亿,22.33,810.66,8507手,0.02,0.40
0.80%,3.64亿,2.53%,1.71万手,1.21万手,2.26,6145.59万,89.74亿,-16.61%,"
                        18.89",20.99,飞凯材料,20.76,9.31,21.29,20.92,4.27亿,76.55亿,23.09,136.44,2.92万手,0.14,1.90
1.40%,2.36亿,2.24%,1.82万手,1.48万手,4.93,6496.77万,47.45亿,-0.93%,"
                        17.70",19.67,天和防务,19.44,4.01,19.88,19.67,2.40亿,46.74亿,21.64,125.36,3.30万手,0.12,1.38
1.80%,1.35亿,3.12%,1.41万手,1.02万手,7.82,1.11亿,70.05亿,51.40%,"
                        41.60",46.22,迪瑞医疗,44.96,5.84,46.40,46.20,1.53亿,61.69亿,50.84,38.92,2.43万手,0.88,2.49
0.49%,2.66亿,3.09%,7820手,5246手,2.90,2231.67万,51.08亿,35.46%,"
                        15.43",17.15,菲利华,16.88,5.89,17.41,17.10,2.99亿,45.45亿,18.86,49.15,1.31万手,0.26,0.62
1.35%,7105.34万,2.13%,5697手,3871手,4.21,2225.09万,42.99亿,-21.91%,"
                        20.74",23.05,天孚通信,23.03,5.50,23.52,23.05,1.86亿,16.43亿,25.36,38.26,9568手,0.45,0.43
0.74%,1.08亿,1.77%,4883手,3163手,6.46,2892.47万,87.00亿,-8.83%,"
                        32.57",36.19,中来股份,35.62,5.57,36.26,36.19,2.42亿,38.88亿,39.81,31.38,8047手,1.13,0.50
--,1.64亿,--,--,--,1.64,--,57.33亿,--,"
                        13.44",14.93,腾信股份,--,9.11,--,--,3.84亿,24.50亿,16.42,236.93,--,0.05,--
1.90%,6167.50万,2.50%,5164手,6559手,4.65,1626.02万,27.63亿,-61.56%,"
                        12.25",13.61,康跃科技,13.66,2.99,14.00,13.67,1.98亿,8.60亿,14.97,38.66,1.17万手,0.27,0.12
0.92%,1.85亿,1.31%,7790手,9273手,2.39,1175.40万,23.77亿,35.11%,"
                        6.19",6.88,天华超净,6.84,2.89,6.93,6.88,3.45亿,12.79亿,7.57,78.48,1.71万手,0.07,0.41
0.57%,1.40亿,1.67%,3146手,4797手,3.12,957.98万,38.64亿,7.96%,"
                        10.75",11.95,艾比森,11.94,3.87,12.14,11.95,3.20亿,16.96亿,13.15,52.17,7943手,0.17,0.73
1.08%,2.99亿,2.22%,1.87万手,1.36万手,5.55,7520.22万,71.22亿,58.68%,"
                        21.05",23.39,国祯环保,23.10,4.20,23.62,23.39,3.06亿,69.64亿,25.73,53.29,3.22万手,0.33,0.40
0.56%,1.24亿,1.16%,3733手,3181手,6.13,1131.35万,20.48亿,-26.62%,"
                        14.74",16.38,富邦股份,16.26,2.67,16.45,16.38,1.25亿,20.29亿,18.02,25.20,6915手,0.49,0.40
8.93%,2.25亿,5.51%,13.11万手,6.97万手,3.79,3.49亿,70.77亿,-30.17%,"
                        14.53",16.14,飞天诚信,16.86,4.47,17.75,17.52,4.18亿,38.08亿,17.75,98.48,20.08万手,0.13,3.12
0.96%,6367.03万,1.27%,3612手,2499手,6.71,1538.21万,32.65亿,7.87%,"
                        22.64",25.16,雪浪环境,25.04,3.74,25.36,25.16,1.30亿,15.97亿,27.68,55.02,6111手,0.37,0.38
0.47%,7101.15万,0.96%,2165手,1141手,9.47,962.65万,48.71亿,3.53%,"
                        26.21",29.12,三联虹普,29.00,3.07,29.28,29.21,1.67亿,20.66亿,32.03,49.41,3306手,0.44,0.18
--,13.65亿,--,--,--,4.36,--,190.77亿,--,"
                        11.87",13.19,光环新网,--,3.02,--,--,14.46亿,180.05亿,14.51,44.01,--,0.22,--
1.96%,1.61亿,2.13%,7324手,2.42万手,3.10,4717.71万,47.22亿,-85.43%,"
                        13.53",15.03,斯莱克,14.83,4.86,15.15,15.03,3.13亿,24.24亿,16.53,61.34,3.15万手,0.18,2.36
0.47%,1.65亿,1.91%,4644手,3182手,4.72,1023.28万,53.33亿,32.06%,"
                        11.81",13.12,溢多利,12.96,2.78,13.21,13.06,4.07亿,21.61亿,14.43,92.18,7826手,0.11,0.04
1.42%,6737.61万,1.31%,4988手,4580手,2.86,2055.07万,29.49亿,-6.43%,"
                        19.17",21.30,安硕信息,21.33,7.51,21.61,21.33,1.37亿,14.46亿,23.43,1315.61,9569手,0.01,0.29
1.52%,1.88亿,2.49%,1.56万手,1.30万手,6.47,3704.10万,35.71亿,50.71%,"
                        11.57",12.86,东方通,12.84,1.99,13.16,12.87,2.77亿,24.17亿,14.15,70.42,2.86万手,0.14,1.18
