换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
0.95%,2500.00万,1.62%,1479手,891手,8.65,1017.18万,42.80亿,-47.77%,"
                        38.81",43.12,瑞特股份,42.70,4.95,43.40,43.40,10000.00万,10.70亿,47.43,37.57,2370手,0.85,--
1.70%,7600.00万,1.06%,7634手,5283手,3.94,1581.78万,37.21亿,-15.22%,"
                        11.02",12.24,雄塑科技,12.17,3.10,12.30,12.22,3.04亿,9.30亿,13.46,31.85,1.29万手,0.29,--
3.43%,2000.00万,2.31%,4445手,2410手,5.42,2048.96万,23.68亿,-7.42%,"
                        27.30",30.33,诚迈科技,29.60,5.46,30.30,30.01,8000.00万,5.92亿,33.36,74.81,6855手,0.30,--
13.51%,6000.00万,5.07%,4.58万手,3.52万手,2.99,1.71亿,49.66亿,67.80%,"
                        19.33",21.48,吉大通信,20.56,6.92,21.65,21.30,2.40亿,12.41亿,23.63,109.91,8.10万手,0.14,--
2.32%,4500.00万,2.49%,7700手,2758手,4.83,1960.49万,33.48亿,61.90%,"
                        17.02",18.91,利安隆,18.55,3.85,19.02,18.91,1.80亿,8.37亿,20.80,26.89,1.05万手,0.52,--
3.29%,3060.00万,3.97%,6666手,3410手,6.24,4913.35万,59.93亿,37.67%,"
                        45.14",50.16,欧普康视,48.00,7.73,49.99,49.99,1.24亿,14.75亿,55.18,39.86,1.01万手,0.92,--
2.63%,2889.00万,1.23%,4168手,3435手,4.77,1613.51万,24.52亿,-14.78%,"
                        19.05",21.17,新雷能,21.12,4.45,21.38,21.15,1.16亿,6.13亿,23.29,60.75,7603手,0.26,--
2.77%,3060.00万,1.05%,3890手,4597手,3.94,1459.62万,21.07亿,44.99%,"
                        15.50",17.22,华凯创意,17.13,4.37,17.31,17.13,1.22亿,5.27亿,18.94,44.02,8488手,0.29,--
3.17%,7800.00万,1.30%,1.61万手,8562手,1.41,2257.09万,28.49亿,49.47%,"
                        8.32",9.24,万里马,9.10,6.45,9.22,9.22,3.12亿,7.12亿,10.16,93.44,2.47万手,0.07,--
11.64%,4000.00万,3.52%,2.65万手,2.01万手,4.58,1.32亿,44.85亿,63.01%,"
                        26.10",29.00,移为通信,27.98,6.12,29.00,28.75,1.60亿,11.21亿,31.90,55.51,4.66万手,0.38,--
4.95%,2817.10万,2.15%,8366手,5571手,2.63,3329.02万,26.82亿,43.40%,"
                        21.80",24.22,江龙船艇,23.70,9.03,24.22,24.22,1.13亿,6.70亿,26.64,93.54,1.39万手,0.19,--
5.11%,2500.00万,3.14%,7353手,5424手,3.35,3816.89万,29.48亿,-5.51%,"
                        26.67",29.63,熙菱信息,29.45,8.80,30.38,29.52,10000.00万,7.37亿,32.59,62.35,1.28万手,0.35,--
4.03%,4170.02万,2.57%,8830手,7973手,7.89,3816.86万,23.75亿,19.37%,"
                        20.70",23.00,天铁股份,22.51,2.89,23.10,22.74,1.04亿,9.52亿,25.30,37.56,1.68万手,0.46,--
1.96%,2400.00万,1.45%,2484手,2230手,6.00,1203.62万,24.59亿,31.97%,"
                        22.95",25.50,美联新材,25.35,4.27,25.72,25.42,9600.00万,6.15亿,28.05,44.09,4714手,0.44,--
7.45%,8014.00万,4.40%,3.39万手,2.58万手,2.72,1.11亿,29.42亿,10.67%,"
                        17.37",19.30,奥联电子,18.30,6.77,19.15,18.97,1.60亿,14.74亿,21.23,47.89,5.97万手,0.29,--
1.32%,1987.47万,1.89%,1596手,1024手,6.23,858.68万,26.26亿,-81.31%,"
                        29.56",32.85,海辰药业,32.57,5.27,33.19,33.19,8000.00万,6.52亿,36.14,42.91,2620手,0.57,--
1.34%,2666.67万,1.39%,2349手,1216手,15.40,1434.84万,43.36亿,-14.55%,"
                        36.35",40.39,赛托生物,40.03,2.61,40.59,40.32,1.08亿,10.71亿,44.43,72.06,3565手,0.42,--
2.11%,1.21亿,2.19%,1.63万手,9213手,4.58,4583.48万,36.23亿,-14.54%,"
                        16.42",18.24,英飞特,17.80,3.91,18.20,18.20,2.03亿,21.65亿,20.06,90.22,2.56万手,0.15,--
1.80%,3140.00万,2.02%,2745手,2915手,5.89,1731.52万,27.80亿,40.97%,"
                        27.63",30.70,晨曦航空,30.27,5.22,30.89,30.70,9040.00万,9.66亿,33.77,92.46,5661手,0.25,--
--,5000.00万,--,--,--,6.06,--,43.48亿,--,"
                        19.57",21.74,贝斯特,--,3.59,--,--,2.00亿,10.87亿,23.91,33.22,--,0.49,--
2.58%,2874.10万,3.36%,3735手,3691手,6.35,3407.64万,36.40亿,36.65%,"
                        40.93",45.48,数字认证,45.35,7.16,46.88,45.42,8000.00万,13.08亿,50.03,57.90,7426手,0.59,--
1.03%,1800.00万,1.85%,790手,1059手,3.83,656.02万,26.10亿,-49.21%,"
                        32.04",35.60,会畅通讯,35.12,9.25,35.78,35.60,7376.10万,6.37亿,39.16,78.49,1850手,0.35,--
0.53%,3541.95万,1.88%,1177手,694手,3.69,1189.33万,76.41亿,-64.80%,"
                        57.49",63.88,开润股份,63.20,17.16,64.40,63.30,1.21亿,22.41亿,70.27,61.49,1871手,0.77,--
2.56%,3991.39万,1.59%,4817手,5388手,3.35,1706.91万,20.10亿,-5.63%,"
                        15.31",17.01,容大感光,16.61,5.00,16.88,16.77,1.20亿,6.69亿,18.71,48.44,1.02万手,0.26,--
0.89%,3439.10万,0.78%,1928手,1137手,13.22,1219.24万,29.15亿,-85.22%,"
                        35.86",39.84,中旗股份,39.65,3.01,39.96,39.81,7335.00万,13.67亿,43.82,27.49,3066手,1.08,--
0.63%,5272.35万,1.30%,2047手,1291手,6.91,819.26万,19.64亿,9.48%,"
                        22.19",24.66,兴齐眼药,24.43,3.55,24.75,24.68,8000.00万,12.94亿,27.13,35.19,3338手,0.52,--
0.92%,3088.58万,5.12%,1638手,1204手,8.20,1773.00万,42.15亿,-32.86%,"
                        56.98",63.31,安车检测,60.10,7.65,63.34,63.26,6725.40万,19.36亿,69.64,52.24,2842手,0.90,--
0.88%,4596.20万,1.67%,2372手,1689手,3.77,1915.37万,37.57亿,-18.00%,"
                        42.56",47.29,平治信息,46.66,12.45,47.45,46.89,8000.00万,21.58亿,52.02,45.90,4062手,0.77,--
6.12%,9486.95万,3.79%,3.48万手,2.32万手,4.75,1.23亿,48.23亿,-12.78%,"
                        19.23",21.37,太辰光,20.89,4.41,21.70,21.26,2.30亿,19.89亿,23.51,46.25,5.80万手,0.34,--
3.65%,8009.33万,2.88%,1.56万手,1.36万手,11.02,6813.06万,34.88亿,-31.40%,"
                        20.60",22.89,天能重工,22.89,2.11,23.55,22.89,1.50亿,18.62亿,25.18,37.31,2.92万手,0.47,--
1.80%,1.30亿,2.13%,1.25万手,1.09万手,6.53,6507.37万,53.82亿,-19.25%,"
                        25.34",28.16,星源材质,27.60,4.29,28.20,28.15,1.92亿,36.37亿,30.98,43.99,2.34万手,0.48,--
0.77%,4115.90万,1.95%,1848手,1306手,10.75,3873.55万,100.01亿,57.71%,"
                        110.07",122.30,精测电子,122.00,11.36,124.38,122.30,8190.70万,50.26亿,134.53,65.40,3155手,1.40,--
1.42%,7275.64万,3.10%,4062手,6252手,5.85,4006.06万,48.92亿,-18.69%,"
                        34.56",38.40,激智科技,38.31,6.72,39.50,38.31,1.24亿,28.62亿,42.24,81.27,1.03万手,0.36,--
3.36%,5459.20万,1.45%,9824手,8522手,4.55,4057.34万,35.31亿,-42.95%,"
                        19.93",22.14,科信技术,21.98,4.85,22.30,22.14,1.60亿,12.05亿,24.35,65.68,1.83万手,0.25,--
0.64%,3207.50万,1.19%,1366手,682手,5.51,634.56万,24.79亿,36.55%,"
                        27.89",30.99,神宇股份,30.86,5.63,31.23,30.86,8000.00万,9.94亿,34.09,57.01,2049手,0.41,--
9.28%,7865.22万,6.36%,4.27万手,3.03万手,2.60,1.75亿,44.20亿,67.06%,"
                        21.66",24.07,乐心医疗,23.36,8.99,24.89,23.80,1.89亿,18.41亿,26.48,--,7.30万手,-0.02,--
1.88%,3361.69万,2.78%,2580手,3726手,7.67,2112.01万,28.80亿,-33.06%,"
                        29.82",33.13,汇金科技,32.90,4.41,33.82,33.13,8516.00万,11.37亿,36.44,48.87,6306手,0.53,--
4.47%,4131.83万,3.11%,1.10万手,7474手,4.53,6420.53万,36.13亿,1.00%,"
                        31.53",35.03,中富通,34.30,7.58,35.39,35.24,1.05亿,14.19亿,38.53,83.93,1.85万手,0.31,--
0.30%,4012.47万,1.40%,698手,511手,8.49,468.46万,27.64亿,-13.33%,"
                        34.79",38.66,佳发安泰,38.47,4.54,39.01,38.66,7180.00万,15.45亿,42.53,52.29,1210手,0.55,--
0.95%,3349.27万,0.87%,2009手,1184手,8.20,1208.96万,21.05亿,42.86%,"
                        34.09",37.88,理工光科,37.75,4.61,38.08,37.93,5566.85万,12.66亿,41.67,140.09,3193手,0.20,--
4.66%,1300.00万,2.32%,2956手,3103手,8.24,3727.50万,31.84亿,78.24%,"
                        55.10",61.22,三超新材,60.71,7.44,62.13,61.06,5200.00万,7.96亿,67.34,58.39,6060手,0.79,--
0.57%,1513.74万,1.60%,397手,461手,6.62,348.39万,19.48亿,24.40%,"
                        36.57",40.63,集智股份,40.21,6.13,40.86,40.86,4800.00万,6.14亿,44.69,81.81,858手,0.37,--
1.77%,3976.20万,1.92%,3348手,3684手,6.97,1839.97万,28.46亿,3.19%,"
                        23.38",25.98,万集科技,25.80,3.77,26.30,26.07,1.08亿,10.45亿,28.58,175.59,7032手,0.11,--
0.74%,4327.50万,1.28%,1809手,1379手,6.91,844.83万,19.42亿,-17.31%,"
                        23.88",26.53,古鳌科技,26.40,3.83,26.74,26.50,7336.00万,11.45亿,29.18,--,3189手,-0.04,147.56
1.09%,2927.00万,2.67%,1616手,1585手,6.16,1015.03万,25.25亿,-13.67%,"
                        28.30",31.44,和仁科技,31.16,5.13,32.00,31.16,8000.00万,9.24亿,34.58,91.60,3201手,0.26,155.30
0.86%,6104.00万,1.73%,1784手,3472手,3.62,1126.80万,28.53亿,30.95%,"
                        19.22",21.35,优德精密,21.16,5.91,21.53,21.39,1.33亿,13.06亿,23.49,35.94,5257手,0.45,7.68
1.60%,3411.00万,1.58%,3350手,2094手,7.22,2676.53万,40.38亿,-26.87%,"
                        44.33",49.26,博创科技,48.82,6.77,49.60,49.28,8267.00万,16.66亿,54.19,51.86,5444手,0.71,61.75
0.79%,3129.11万,1.70%,1291手,1176手,10.67,1214.65万,30.15亿,-22.91%,"
                        44.06",48.95,川环科技,48.91,4.60,49.74,49.00,6135.42万,15.38亿,53.85,30.64,2467手,1.20,0.13
0.86%,7248.63万,1.40%,3854手,2385手,4.41,1331.11万,28.69亿,63.69%,"
                        19.35",21.50,雄帝科技,21.20,4.82,21.50,21.41,1.35亿,15.38亿,23.65,52.45,6239手,0.30,12.32
1.11%,2316.64万,3.52%,1679手,900手,7.23,1705.74万,46.95亿,-55.56%,"
                        60.12",66.80,联得装备,65.12,9.01,67.47,67.37,7206.61万,15.09亿,73.48,82.42,2579手,0.59,0.12
4.60%,4260.00万,1.94%,9867手,9737手,5.32,6195.59万,38.05亿,-0.95%,"
                        28.26",31.40,朗科智能,31.21,5.96,31.82,31.39,1.20亿,13.51亿,34.54,44.26,1.96万手,0.54,0.54
9.99%,3260.00万,7.22%,1.80万手,1.45万手,6.22,1.01亿,27.42亿,-39.89%,"
                        26.29",29.21,新晨科技,30.02,4.83,32.13,30.35,9119.15万,9.80亿,32.13,195.12,3.26万手,0.12,0.88
3.63%,5060.56万,6.47%,8863手,9516手,5.97,4643.40万,30.17亿,17.55%,"
                        21.83",24.26,先进数通,24.41,4.21,25.98,24.47,1.20亿,12.72亿,26.69,118.54,1.84万手,0.16,0.22
0.85%,4267.41万,1.52%,2323手,1314手,7.98,902.95万,19.79亿,9.46%,"
                        22.43",24.92,深冷股份,24.61,3.10,24.99,24.95,8000.00万,10.56亿,27.41,143.12,3638手,0.13,0.11
